Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,MTH Conc.1,MTH Conc.2,MTH Conc.3,MTH Conc.4,MTH BF1,MTH BF2,MTH BF3,MTH BF4,MTH TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm2 Conc.1,Ite.Nm3 Conc.1
0.1,1.101041,-895.989563,1439.751465,-146441.75,1,1,1,1,-0.000412,0,0,0,0,0,0,0,0,0,1.72861E+7,9.609081,33.661499,36.214066,42.103081,0.20767,0.261158,70.188477,31.28125,100.671646,26.000721,30.535378,3062816,0.143247,0.075157,9.6,2835.079102,2835.079102
0.2,1.216377,-1156.485107,1530.308838,-138566.8125,1,1,1,1,0.000131,0,0,0,0,0,0,0,0,0,1.729637E+7,9.61556,33.649395,36.212288,42.141869,0.207938,0.261158,70.188477,31.28125,100.671646,25.987083,30.535378,3062058,0.143247,0.10142,42.009998,2940.749023,2940.749023
0.3,1.146755,-714.444092,1449.918579,-129140.570312,1,1,1,1,-0.003789,0,0,0,0,0,0,0,0,0,1.729438E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,70.188477,31.28125,100.671646,25.995667,30.528118,3060392,0.143798,0.069812,100,1998.928833,1998.928833
0.4,1.10342,-901.171082,1479.481812,-141524.421875,1,1,1,1,-0.004588,0,0,0,0,0,0,0,0,0,1.727331E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,70.188477,31.28125,100.671646,25.998241,30.523695,3056513,0.143798,0.056392,0.9,3489.592285,3489.592285
0.5,1.215714,-1366.494507,1555.942017,-142926,1,1,1,1,-0.004326,0,0,0,0,0,0,0,0,0,1.727473E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,70.188477,31.28125,100.671646,26.003296,30.523695,3053420,0.143798,0.10075,4.2,2955.937988,2955.937988
0.6,1.112995,-740.697937,1476.293823,-140098.09375,1,1,1,1,-0.001199,0,0,0,0,0,0,0,0,0,1.726835E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,70.188477,31.28125,100.671646,26.004154,30.530535,3057094,0.143798,0.08277,1,3858.303711,6328.125977
0.7,1.103935,-825.311096,1503.643677,-134213.453125,1,1,1,1,0.000315,0,0,0,0,0,0,0,0,0,1.728194E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,69.988281,31.280273,100.671646,26.004154,30.536043,3058626,0.143798,0.062265,0,343.63855,343.63855
0.8,1.13414,-1066.128784,1470.852661,-145142.453125,1,1,1,1,0.000448,0,0,0,0,0,0,0,0,0,1.728332E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,69.988281,31.280273,100.671646,26.003963,30.536043,3058993,0.143798,0.081918,0,3376.787598,3376.787598
0.9,1.08646,-661.455688,1402.015381,-143164.25,1,1,1,1,-0.006342,0,0,0,0,0,0,0,0,0,1.728156E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,69.988281,31.280273,100.671646,26.004154,30.526699,3061700,0.143798,0.084072,0,2528.191406,2528.191406
1,1.110743,-795.629639,1488.329712,-147914.640625,1,1,1,1,-0.00399,0,0,0,0,0,0,0,0,0,1.726522E+7,9.607955,33.663227,36.208736,42.070568,0.207938,0.260395,69.988281,31.280273,100.671646,26.004154,30.526699,3059835,0.143798,0.073484,0,1673.418701,1673.418701
